X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7910723.20873405,5208784.59637099,N_568579452955534204,Dorchester,Q2CK-H48M-P2E9,DOT-BFD21-AP3,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482, BFD Engine-21 Outside ,2023/06/12 07:56:10+00,1,BFD,,Outside,Engine 21,1
-7908681.04359801,5210972.71024671,N_568579452955537848,South Boston,Q2CK-LEG8-FAFN,SB-HIGHSCHOOL-AP2,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042, recently-added ,2023/06/12 07:56:11+00,1,,,,,2
-7917511.80329518,5199475.67604279,N_568579452955538316,Hyde Park,Q2CK-NERF-4JX7,HP-BPDE18-AP2,"1249 Hyde Park Ave., Hyde Park, MA",42.2564734025513,-71.1242186509677, recently-added ,2023/06/12 07:56:12+00,1,,,,,3
-7913611.28742313,5208018.69003845,N_579275502070532581,Roxbury,Q2CK-DSFT-7HTL,ROX-TROTTER-AP3,"Humbolt & Waumbeck St., Roxbury, MA",42.3132486987508,-71.0891797207296, BPS Outside Trotter-School ,2023/06/12 07:56:14+00,1,BPS,,Outside,Trotter School,4
-7914566.17244166,5208795.9466497,N_579275502070532581,Roxbury,Q2CK-2D9P-VKGR,ROX-BFDE42-AP1,"1870 Columbus Ave., Roxbury, MA",42.3184116635137,-71.0977575987968, BFD Engine-42 Outside ,2023/06/12 07:56:15+00,1,BFD,,Outside,Engine 42,5
-7913800.57146551,5210829.50780903,N_579275502070532581,Roxbury,Q2CK-SQTZ-N3W3,ROX-Madison Park-HS-AP2,"75 Malcolm X Blvd, Boston, MA 02120",42.3319176883679,-71.0908800882127, recently-added ,2023/06/12 07:56:15+00,1,,,,,6
-7912206.86899669,5207707.12890424,N_579275502070532581,Roxbury,Q2CK-5YEE-273N,ROX-MLKSCHOOL-AP2,"77 Lawrence Ave., Roxbury, MA",42.3111790198738,-71.0765636153519, BPS MLK Outside ,2023/06/12 07:56:15+00,1,BPS,,Outside,MLK,7
-7913800.57146551,5210829.50780903,N_579275502070532581,Roxbury,Q2CK-SU8N-5VU8,ROX-Madison Park-HS-AP3,"75 Malcolm X Blvd, Boston, MA 02120",42.3319176883679,-71.0908800882127, recently-added ,2023/06/12 07:56:15+00,1,,,,,8
-7917899.44707971,5203994.95053004,N_601230550253961252,Roslindale,Q2CK-6PU6-G499,ROS-COMMUNITY-AP2,"6 Cummings Highway, Roslindale, MA",42.2865140418411,-71.1277009143321, BCYF/BPL Outside Roslindale-Comm-Center ,2023/06/12 07:56:16+00,1,BCYF,BPL,Outside,Roslindale Comm Center,9
-7918007.38443269,5203860.20018636,N_601230550253961252,Roslindale,Q2CK-6V2L-TCDF,ROS-BPL-AP1,"4246 Washington St., Roslindale MA",42.2856185329317,-71.1286705320712, BPL Outside Roslindale-branch ,2023/06/12 07:56:16+00,1,BPL,,Outside,Roslindale branch,10
-7910075.12313436,5215090.02956264,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-GDTR-3C3W,DT-CITYHALL-AP2,"One City Hall Sq
Boston MA 02201",42.3602048112712,-71.057413816452,,2023/06/12 07:56:17+00,1,,,,,11
-7910125.88209846,5215159.30061953,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-MULH-9V9B,DT-CITYHALL-9th-Floor-Interior Ring,One City Hall Sq.  Boston MA 02201,42.3606646213586,-71.0578697919846,,2023/06/12 07:56:17+00,1,,,,,12
-7910346.83288335,5215113.3189697,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-HJRQ-D68Q,DT-CITYHALL-GUARDSHACK,One City Hall Sq Boston MA 02201,42.3603594029692,-71.0598546266556,,2023/06/12 07:56:17+00,1,,,,,13
-7909698.31247149,5215107.34732686,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-ARNB-HFAK,DT-QUINCYMARKET-AP2,"Faneuil Hall Marketplace
Boston MA 02201",42.3603197641085,-71.0540288686752,,2023/06/12 07:56:17+00,1,,,,,14
-7909895.97384932,5215084.65508409,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-Q7YG-V974,DT-QUINCYMARKET-AP1,"Faneuil Hall Marketplace
Boston MA 02201",42.36016913621,-71.0558044910431,,2023/06/12 07:56:17+00,1,,,,,15
-7910171.86374829,5215084.05791981,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-JLUF-293V,DT-City Hall Front right side up stairs,One City Hall Sq  Boston MA 02201,42.360165172313,-71.0582828521729,,2023/06/12 07:56:17+00,1,,,,,16
-7910115.13314136,5215168.85524806,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-3S8D-CZPE,DT-CITYHALL-4th-Floor-Patio-Daycare,One City Hall Sq  Boston MA 02201,42.3607280431756,-71.05777323246,,2023/06/12 07:56:17+00,1,,,,,17
-7910100.20403427,5215143.17718387,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-3A2V-JNVG,DT-CITYHALL-AP1,"One City Hall Sq
Boston MA 02201",42.3605575968973,-71.0576391220093,,2023/06/12 07:56:17+00,1,,,,,18
-7910106.77284139,5215154.52330526,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-ZUF3-Y73P,DT-CITYHALL-4th-Floor-Patio-AP1,One City Hall Sq  Boston MA 02201,42.3606329104261,-71.0576981306076,,2023/06/12 07:56:17+00,1,,,,,19
-7909890.00220648,5215062.56000561,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-F6RV-VVHP,DT-QUINCYMARKET-AP3,"Faneuil Hall Marketplace
Boston MA 02201",42.3600224718566,-71.0557508468628,,2023/06/12 07:56:17+00,1,,,,,20
-7909701.89545719,5215082.26642696,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-PMFQ-JUX3,DT-QUINCYMARKET-AP4,"Faneuil Hall Marketplace
Boston MA 02201",42.3601532806207,-71.0540610551834,,2023/06/12 07:56:17+00,1,,,,,21
-7910113.34164851,5215071.51746986,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-ZXW8-H9ZW,DT-CITYHALL-8th-Floor-Interior Ring,"One City Hall Sq
Boston MA 02201",42.3600819304195,-71.0577571392059,,2023/06/12 07:56:17+00,1,,,,,22
-7910079.30328435,5215045.24224138,N_601230550253961310,Downtown Boston - City Hall - Quincy Market,Q3AE-TBT5-D72C,DT-Beer garden 1- lower part of beer garden,One City Hall Sq  Boston MA 02201,42.3599075184754,-71.0574513673782,,2023/06/12 07:56:17+00,1,,,,,23
-7907934.08964348,5216909.14299728,N_601230550253961436,East Boston,Q2CK-NU9A-QWKC,EB-10GOVE-AP2,"10 Gove St, Boston, MA 02128, USA",42.3722786763649,-71.0381805853654, E-Boston-Main-Street June2016 Outside Private-residence ,2023/06/12 07:56:19+00,1,,,Outside,E Boston Main Street Private residence,24
-7907994.31356349,5216273.74709104,N_601230550253961436,East Boston,Q2CK-DR2X-L8TF,EB-ENGINE9-AP2,"239 Sumner St., East Boston, MA - Left front on Station",42.3680616745087,-71.0387215860435, BFD E-Boston-Main-Street Engine-9 Outside ,2023/06/12 07:56:19+00,1,BFD,,Outside,E Boston Main Street Engine 9,25
-7908004.05860206,5216720.37125784,N_601230550253961436,East Boston,Q2CK-D66G-X9MY,EB-BPDA7-AP4,"69 Paris St., East Boston, MA - Right back pointing towards Maverick St",42.3710258637724,-71.0388091272144, BPD District-A-7 E-Boston-Main-Street Outside ,2023/06/12 07:56:19+00,1,BPD,,Outside,District A 7 E Boston Main Street,26
-7907904.36757913,5216553.24360091,N_601230550253961436,East Boston,Q2CK-NQEV-RYEW,EB-154MAVERICK-AP1,"154 Maverick St, East Boston MA",42.3699166745967,-71.0379135875185, E-Boston-Main-Street June2016 Outside Private-residence recently-added ,2023/06/12 07:56:19+00,1,,,Outside,E Boston Main Street Private residence,27
-7907994.31356349,5216273.74709104,N_601230550253961436,East Boston,Q2EK-N2DB-5PSX,EB-ENGINE9-AP1,"239 Sumner St, Boston, MA 02128",42.3680616745087,-71.0387215860435, BFD E-Boston-Main-Street Engine-9 Outside ,2023/06/12 07:56:19+00,1,BFD,,Outside,E Boston Main Street Engine 9,28
-7913800.57146551,5210829.50780903,N_579275502070532581,Roxbury,Q2CK-SSY2-PBYW,ROX-Madison Park-HS-AP1,"75 Malcolm X Blvd, Boston, MA 02120",42.3319176883679,-71.0908800882127, recently-added ,2023/06/12 07:56:14+00,1,,,,,29
-7913720.91942806,5209401.49372063,N_579275502070532581,Roxbury,Q2CK-NU6F-VDER,ROX-SHELBURNE-AP1,"2730 Washington St., Roxbury, MA",42.3224337457746,-71.0901645617862, BCYF/BPL Outside Shelbourne-Comm-Center ,2023/06/12 07:56:15+00,1,BCYF,BPL,Outside,Shelbourne Comm Center,30
-7912085.71462733,5208770.45455651,N_579275502070532581,Roxbury,Q2CK-5PKB-8LG8,ROX-WINTHROP-AP1,"35 Brookford St., Roxbury, MA",42.3182423377658,-71.0754752671346, BPS Outside Winthrop-School ,2023/06/12 07:56:15+00,1,BPS,,Outside,Winthrop School,31
-7912356.6389058,5210582.18137717,N_579275502070532581,Roxbury,Q2CK-HDFV-VYBC,ROX-ORCHARD-AP2,"906 Albany St., Roxbury, MA",42.330275209131,-71.0779090213365, BPS Orchard-Garden-School Outside recently-added ,2023/06/12 07:56:15+00,1,BPS,,Outside,Orchard Garden School,32
-7917899.44707971,5203994.95053004,N_601230550253961252,Roslindale,Q2CK-5TD4-6S66,ROS-COMMUNITY-AP1,"6 Cummings Highway, Roslindale, MA",42.2865140418411,-71.1277009143321, BCYF/BPL Outside Roslindale-Comm-Center ,2023/06/12 07:56:16+00,1,BCYF,BPL,Outside,Roslindale Comm Center,33
-7918007.38443269,5203860.20018636,N_601230550253961252,Roslindale,Q2CK-7FHC-97HP,ROS-BPL-AP2,"4246 Washington St., Roslindale MA",42.2856185329317,-71.1286705320712, BPL Outside Roslindale-branch ,2023/06/12 07:56:16+00,1,BPL,,Outside,Roslindale branch,34
